date,msg,poland,ukraine,belarus,moldova,hungary,slovakia,romania,latvia,estonia,germany,russia,lithuania,czechia,italy,austria,denmark,sweden,finland,ireland,france,turkey,spain,portugal,slovenia,netherlands,belgium,bulgaria,croatia,united kingdom,macedonia,serbia,bosnia,switzerland,greece,luxembourg,iceland,malta,norway,montenegro,cyprus,albania
2022-02-24,1721.0,422.0,0.0,8.0,20.0,4.0,4.0,4.0,1.0,0.0,4.0,4.0,2.0,3.0,8.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-25,10528.0,2620.0,0.0,51.0,127.0,41.0,62.0,82.0,9.0,0.0,92.0,77.0,19.0,58.0,57.0,2.0,2.0,1.0,5.0,4.0,21.0,27.0,19.0,2.0,6.0,45.0,0.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022-02-26,18003.0,3982.0,0.0,79.0,331.0,96.0,145.0,182.0,16.0,1.0,221.0,126.0,30.0,190.0,134.0,9.0,3.0,3.0,6.0,6.0,41.0,37.0,41.0,5.0,7.0,83.0,3.0,18.0,3.0,3.0,1.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022-02-27,22669.0,4901.0,0.0,97.0,524.0,198.0,174.0,319.0,38.0,6.0,362.0,150.0,42.0,274.0,180.0,17.0,7.0,3.0,9.0,13.0,68.0,54.0,88.0,6.0,10.0,104.0,4.0,31.0,4.0,5.0,1.0,2.0,1.0,8.0,5.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0
2022-02-28,26250.0,5496.0,0.0,118.0,664.0,265.0,209.0,456.0,46.0,6.0,463.0,162.0,51.0,333.0,216.0,20.0,8.0,3.0,10.0,13.0,90.0,63.0,115.0,7.0,13.0,121.0,5.0,42.0,5.0,7.0,1.0,2.0,2.0,12.0,5.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0
2022-03-01,31061.0,6233.0,0.0,138.0,825.0,334.0,244.0,586.0,56.0,7.0,600.0,186.0,57.0,427.0,253.0,26.0,16.0,4.0,12.0,14.0,121.0,75.0,141.0,7.0,13.0,145.0,6.0,53.0,6.0,10.0,1.0,3.0,2.0,16.0,6.0,2.0,0.0,1.0,1.0,6.0,0.0,0.0
2022-03-02,35575.0,6941.0,0.0,147.0,992.0,393.0,281.0,718.0,60.0,7.0,756.0,204.0,65.0,488.0,288.0,31.0,24.0,5.0,18.0,14.0,154.0,79.0,171.0,17.0,14.0,171.0,10.0,71.0,7.0,12.0,1.0,3.0,2.0,20.0,8.0,2.0,0.0,1.0,5.0,6.0,0.0,0.0
2022-03-03,39459.0,7595.0,0.0,164.0,1110.0,453.0,297.0,837.0,67.0,9.0,909.0,217.0,77.0,540.0,327.0,44.0,28.0,5.0,24.0,14.0,184.0,85.0,188.0,17.0,17.0,182.0,14.0,86.0,7.0,13.0,1.0,3.0,2.0,28.0,8.0,3.0,0.0,1.0,6.0,7.0,0.0,0.0
2022-03-04,44626.0,8392.0,0.0,180.0,1286.0,495.0,304.0,954.0,70.0,9.0,1125.0,230.0,86.0,591.0,395.0,47.0,31.0,5.0,26.0,15.0,224.0,95.0,208.0,22.0,18.0,208.0,18.0,95.0,7.0,17.0,1.0,3.0,2.0,32.0,12.0,3.0,0.0,1.0,6.0,7.0,0.0,0.0
2022-03-05,48839.0,9096.0,0.0,192.0,1449.0,529.0,310.0,1038.0,75.0,9.0,1355.0,241.0,98.0,643.0,482.0,56.0,40.0,6.0,29.0,18.0,261.0,103.0,240.0,34.0,25.0,231.0,22.0,106.0,9.0,24.0,1.0,5.0,2.0,38.0,14.0,6.0,0.0,3.0,8.0,9.0,0.0,0.0
