date,msg,poland,ukraine,belarus,moldova,hungary,slovakia,romania,latvia,estonia,germany,russia,lithuania,czechia,italy,austria,denmark,sweden,finland,ireland,france,turkey,spain,portugal,slovenia,netherlands,belgium,bulgaria,croatia,united kingdom,macedonia,serbia,bosnia,switzerland,greece,luxembourg,iceland,malta,norway,montenegro,cyprus,albania
2022-02-24,1721.0,283.0,0.0,5.0,19.0,0.0,1.0,3.0,0.0,0.0,3.0,2.0,1.0,3.0,13.0,1.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-25,10528.0,1827.0,0.0,36.0,134.0,32.0,28.0,67.0,7.0,0.0,83.0,27.0,15.0,43.0,58.0,43.0,2.0,1.0,4.0,3.0,31.0,13.0,46.0,1.0,5.0,4.0,24.0,4.0,1.0,1.0,1.0,1.0,1.0,42.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-02-26,18003.0,2800.0,0.0,54.0,280.0,76.0,51.0,145.0,14.0,0.0,172.0,52.0,22.0,142.0,127.0,99.0,2.0,3.0,4.0,5.0,67.0,23.0,64.0,4.0,6.0,24.0,61.0,8.0,3.0,5.0,1.0,1.0,1.0,94.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-02-27,22669.0,3413.0,0.0,59.0,453.0,147.0,57.0,270.0,23.0,3.0,280.0,63.0,28.0,200.0,176.0,161.0,4.0,3.0,5.0,10.0,94.0,30.0,103.0,4.0,9.0,37.0,80.0,18.0,3.0,6.0,1.0,1.0,1.0,154.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0
2022-02-28,26250.0,3861.0,0.0,69.0,581.0,197.0,70.0,389.0,29.0,4.0,379.0,67.0,37.0,246.0,238.0,215.0,4.0,3.0,5.0,10.0,119.0,37.0,122.0,5.0,11.0,48.0,101.0,28.0,5.0,9.0,1.0,1.0,2.0,209.0,3.0,0.0,0.0,0.0,2.0,7.0,1.0,0.0
2022-03-01,31061.0,4421.0,0.0,84.0,731.0,255.0,84.0,513.0,38.0,6.0,520.0,80.0,42.0,315.0,270.0,289.0,10.0,4.0,7.0,10.0,141.0,47.0,146.0,5.0,11.0,59.0,121.0,38.0,6.0,12.0,1.0,2.0,2.0,279.0,4.0,0.0,0.0,0.0,2.0,8.0,2.0,0.0
2022-03-02,35575.0,4978.0,0.0,92.0,854.0,304.0,112.0,605.0,40.0,7.0,659.0,91.0,48.0,363.0,297.0,335.0,16.0,5.0,13.0,10.0,173.0,51.0,173.0,13.0,13.0,96.0,144.0,50.0,7.0,14.0,1.0,2.0,2.0,319.0,6.0,0.0,0.0,0.0,6.0,8.0,2.0,0.0
2022-03-03,39459.0,5454.0,0.0,102.0,950.0,346.0,118.0,694.0,47.0,11.0,795.0,97.0,55.0,408.0,328.0,390.0,19.0,5.0,13.0,10.0,199.0,53.0,192.0,13.0,14.0,103.0,166.0,59.0,7.0,14.0,1.0,2.0,2.0,370.0,6.0,0.0,0.0,0.0,7.0,9.0,3.0,0.0
2022-03-04,44626.0,6097.0,0.0,112.0,1113.0,377.0,126.0,790.0,50.0,11.0,966.0,103.0,63.0,447.0,389.0,442.0,20.0,5.0,13.0,11.0,244.0,60.0,208.0,16.0,15.0,127.0,200.0,66.0,7.0,17.0,1.0,2.0,2.0,422.0,8.0,0.0,0.0,0.0,7.0,9.0,4.0,0.0
2022-03-05,48839.0,6691.0,0.0,121.0,1245.0,403.0,132.0,861.0,51.0,13.0,1167.0,106.0,67.0,495.0,470.0,511.0,29.0,6.0,13.0,12.0,301.0,65.0,230.0,24.0,20.0,145.0,248.0,70.0,7.0,21.0,1.0,4.0,2.0,488.0,8.0,1.0,0.0,0.0,8.0,11.0,4.0,0.0
2022-03-06,52596.0,7182.0,0.0,131.0,1323.0,427.0,139.0,929.0,61.0,15.0,1327.0,119.0,70.0,534.0,513.0,564.0,31.0,6.0,14.0,12.0,352.0,99.0,260.0,27.0,21.0,159.0,292.0,92.0,10.0,25.0,1.0,8.0,2.0,536.0,8.0,1.0,0.0,0.0,9.0,16.0,4.0,0.0
2022-03-07,55466.0,7576.0,0.0,136.0,1389.0,456.0,147.0,997.0,66.0,16.0,1472.0,123.0,78.0,562.0,566.0,623.0,33.0,7.0,16.0,14.0,388.0,109.0,290.0,30.0,23.0,170.0,319.0,112.0,12.0,31.0,1.0,10.0,2.0,591.0,11.0,1.0,0.0,0.0,10.0,17.0,4.0,0.0
2022-03-08,57644.0,7863.0,0.0,140.0,1433.0,490.0,157.0,1055.0,67.0,16.0,1582.0,126.0,82.0,591.0,594.0,671.0,33.0,8.0,16.0,14.0,408.0,118.0,298.0,33.0,23.0,175.0,333.0,121.0,16.0,31.0,2.0,13.0,2.0,633.0,12.0,2.0,0.0,0.0,11.0,17.0,4.0,0.0
2022-03-09,59263.0,8081.0,0.0,140.0,1463.0,508.0,164.0,1086.0,68.0,16.0,1660.0,126.0,92.0,607.0,624.0,701.0,34.0,8.0,16.0,14.0,425.0,121.0,309.0,40.0,26.0,183.0,347.0,129.0,17.0,34.0,2.0,14.0,2.0,662.0,12.0,2.0,0.0,0.0,15.0,17.0,4.0,0.0
