date,msg,poland,ukraine,belarus,moldova,hungary,slovakia,romania,latvia,estonia,germany,russia,lithuania,czechia,italy,austria,denmark,sweden,finland,ireland,france,turkey,spain,portugal,slovenia,netherlands,belgium,bulgaria,croatia,united kingdom,macedonia,serbia,bosnia,switzerland,greece,luxembourg,iceland,malta,norway,montenegro,cyprus,albania
2022-02-24,1721.0,20.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-25,10528.0,56.0,0.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,4.0,13.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-26,18003.0,108.0,0.0,4.0,13.0,4.0,3.0,5.0,0.0,0.0,5.0,25.0,1.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-27,22669.0,134.0,0.0,6.0,18.0,7.0,3.0,6.0,0.0,0.0,7.0,31.0,1.0,10.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-28,26250.0,159.0,0.0,6.0,26.0,7.0,3.0,10.0,0.0,0.0,12.0,34.0,1.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,31061.0,200.0,0.0,6.0,42.0,12.0,4.0,12.0,0.0,0.0,13.0,40.0,1.0,16.0,6.0,6.0,1.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-02,35575.0,236.0,0.0,6.0,53.0,12.0,4.0,17.0,0.0,0.0,16.0,42.0,3.0,19.0,8.0,6.0,2.0,0.0,0.0,0.0,3.0,1.0,6.0,1.0,0.0,1.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-03,39459.0,275.0,0.0,9.0,54.0,19.0,4.0,21.0,0.0,0.0,20.0,44.0,5.0,21.0,9.0,7.0,2.0,0.0,0.0,0.0,6.0,4.0,6.0,1.0,1.0,1.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-04,44626.0,324.0,0.0,12.0,65.0,20.0,4.0,26.0,0.0,0.0,33.0,45.0,6.0,23.0,12.0,15.0,2.0,0.0,0.0,0.0,6.0,4.0,7.0,1.0,1.0,2.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-05,48839.0,360.0,0.0,13.0,72.0,20.0,4.0,34.0,0.0,0.0,41.0,47.0,6.0,23.0,13.0,15.0,2.0,0.0,0.0,0.0,8.0,5.0,9.0,1.0,1.0,2.0,7.0,5.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
